Population Issue,x,Run,3189 VCF Files cohort,1GP Files,x,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,Genome_coverage,Avg rDNA Coverage,Estimated Copy #
,23146,ERR3240124,ERR3240124,ERR3240124,TRUE,WGS,PRJEB31736,SAMN00004634,NYGC,public,HG00108,2019-03-22,2019-03-22,ERX3267499,Illumina NovaSeq 6000,HG00108,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00108,male,ERP114329,EUR,European,11034614451,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:13:00Z,1,CORIELL:HG00108,300,112216204500,MGP00003,,36.2022043,8165.754018,225.5595806
,23147,ERR3240125,ERR3240125,ERR3240125,TRUE,WGS,PRJEB31736,SAMN00004635,NYGC,public,HG00109,2019-03-22,2019-03-22,ERX3267500,Illumina NovaSeq 6000,HG00109,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00109,male,ERP114329,EUR,European,12492167436,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1,CORIELL:HG00109,300,118000257900,MGP00003,,38.0682047,7670.428947,201.4917438
,23148,ERR3240126,ERR3240126,ERR3240126,TRUE,WGS,PRJEB31736,SAMN00004636,NYGC,public,HG00110,2019-03-22,2019-03-22,ERX3267501,Illumina NovaSeq 6000,HG00110,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00110,female,ERP114329,EUR,European,10262333778,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:02:00Z,1,CORIELL:HG00110,300,109399977300,MGP00003,,35.29365786,4518.801637,128.034381
,23149,ERR3240127,ERR3240127,ERR3240127,TRUE,WGS,PRJEB31736,SAMN00004637,NYGC,public,HG00111,2019-03-22,2019-03-22,ERX3267502,Illumina NovaSeq 6000,HG00111,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00111,female,ERP114329,EUR,European,12976102958,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:07:00Z,1,CORIELL:HG00111,300,108875889900,MGP00003,,35.1245814,5751.451029,163.7443295
,23150,ERR3240128,ERR3240128,ERR3240128,TRUE,WGS,PRJEB31736,SAMN00004638,NYGC,public,HG00112,2019-03-22,2019-03-22,ERX3267503,Illumina NovaSeq 6000,HG00112,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00112,male,ERP114329,EUR,European,10988005091,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:45:00Z,1,CORIELL:HG00112,300,112178599500,MGP00003,,36.1900725,7892.329653,218.0799625
,23151,ERR3240129,ERR3240129,ERR3240129,TRUE,WGS,PRJEB31736,SAMN00004639,NYGC,public,HG00113,2019-03-22,2019-03-22,ERX3267504,Illumina NovaSeq 6000,HG00113,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00113,male,ERP114329,EUR,European,9262085092,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:41:00Z,1,CORIELL:HG00113,300,100094037000,MGP00003,,32.2914573,9638.401532,298.4814665
,23152,ERR3240130,ERR3240130,ERR3240130,TRUE,WGS,PRJEB31736,SAMN00004640,NYGC,public,HG00114,2019-03-22,2019-03-22,ERX3267505,Illumina NovaSeq 6000,HG00114,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00114,male,ERP114329,EUR,European,10708517134,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T05:03:00Z,1,CORIELL:HG00114,300,113243894400,MGP00003,,36.53374857,10623.10297,290.7750612
,23153,ERR3240131,ERR3240131,ERR3240131,TRUE,WGS,PRJEB31736,SAMN00004641,NYGC,public,HG00115,2019-03-22,2019-03-22,ERX3267506,Illumina NovaSeq 6000,HG00115,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00115,male,ERP114329,EUR,European,9646750273,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T02:48:00Z,1,CORIELL:HG00115,300,98590429200,MGP00003,,31.80637659,5784.473487,181.8652141
,23154,ERR3240132,ERR3240132,ERR3240132,TRUE,WGS,PRJEB31736,SAMN00004642,NYGC,public,HG00116,2019-03-22,2019-03-22,ERX3267507,Illumina NovaSeq 6000,HG00116,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00116,male,ERP114329,EUR,European,16234334501,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T00:59:00Z,1,CORIELL:HG00116,300,154448747700,MGP00003,,49.8268957,8811.151269,176.8352442
,23155,ERR3240133,ERR3240133,ERR3240133,TRUE,WGS,PRJEB31736,SAMN00004643,NYGC,public,HG00117,2019-03-22,2019-03-22,ERX3267508,Illumina NovaSeq 6000,HG00117,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00117,male,ERP114329,EUR,European,12536705531,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:42:00Z,1,CORIELL:HG00117,300,130845966000,MGP00003,,42.21237399,10804.06001,255.9453305
