Population Issue,x,Run,3189 VCF Files cohort,1GP Files,x,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,Genome_coverage,Avg rDNA Coverage,Estimated Copy #
,22758,ERR3242783,ERR3242783,ERR3242783,TRUE,WGS,PRJEB31736,SAMN01091096,NYGC,public,HG01412,2019-03-22,2019-03-22,ERX3269798,Illumina NovaSeq 6000,HG01412,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Puerto Rican in Puerto Rico,PUR,2019-03-25T00:00:00Z,HG01412,male,ERP114329,AMR,Ad Mixed American,11177550110,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-06-01T04:32:00Z,1,Coriell:HG01412,300,112014804600,,PR76,36.13723043,6148.585849,170.1454643
,22740,ERR3242765,ERR3242765,ERR3242765,TRUE,WGS,PRJEB31736,SAMN01091077,NYGC,public,HG01413,2019-03-22,2019-03-22,ERX3269780,Illumina NovaSeq 6000,HG01413,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Puerto Rican in Puerto Rico,PUR,2019-03-25T00:00:00Z,HG01413,male,ERP114329,AMR,Ad Mixed American,11274120496,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T15:21:00Z,1,Coriell:HG01413,300,113895421800,,PR78,36.7439386,6803.022608,185.1467988
,22741,ERR3242766,ERR3242766,ERR3242766,TRUE,WGS,PRJEB31736,SAMN01091078,NYGC,public,HG01414,2019-03-22,2019-03-22,ERX3269781,Illumina NovaSeq 6000,HG01414,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Puerto Rican in Puerto Rico,PUR,2019-03-25T00:00:00Z,HG01414,female,ERP114329,AMR,Ad Mixed American,10576160340,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:09:00Z,1,Coriell:HG01414,300,109914042000,,PR78,35.45950089,6711.648716,189.2764576
,22773,ERR3242798,ERR3242798,ERR3242798,TRUE,WGS,PRJEB31736,SAMN01091113,NYGC,public,HG01431,2019-03-22,2019-03-22,ERX3269813,Illumina NovaSeq 6000,HG01431,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01431,male,ERP114329,AMR,Ad Mixed American,10583116040,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:12:00Z,1,Coriell:HG01431,300,110991841200,,CLM43,35.80721099,7167.482124,200.1686791
,22774,ERR3242799,ERR3242799,ERR3242799,TRUE,WGS,PRJEB31736,SAMN01091114,NYGC,public,HG01432,2019-03-22,2019-03-22,ERX3269814,Illumina NovaSeq 6000,HG01432,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01432,female,ERP114329,AMR,Ad Mixed American,10110734546,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:40:00Z,1,Coriell:HG01432,300,102837259500,,CLM43,33.1764516,5475.110035,165.0300068
,22775,ERR3242800,ERR3242800,ERR3242800,TRUE,WGS,PRJEB31736,SAMN01091115,NYGC,public,HG01435,2019-03-22,2019-03-22,ERX3269815,Illumina NovaSeq 6000,HG01435,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01435,female,ERP114329,AMR,Ad Mixed American,10674915337,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-31T00:28:00Z,1,Coriell:HG01435,300,114268526400,,CLM44,36.86430633,6929.104927,187.9624389
,23529,ERR3241898,ERR3241898,ERR3241898,TRUE,WGS,PRJEB31736,SAMN00014332,NYGC,public,HG01437,2019-03-22,2019-03-22,ERX3268913,Illumina NovaSeq 6000,HG01437,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01437,male,ERP114329,AMR,Ad Mixed American,11302443898,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T22:21:00Z,1,Coriell:HG01437,300,115208361600,MGP00005,CLM45,37.16750769,8272.718417,222.5793154
,23530,ERR3241899,ERR3241899,ERR3241899,TRUE,WGS,PRJEB31736,SAMN00014333,NYGC,public,HG01438,2019-03-22,2019-03-22,ERX3268914,Illumina NovaSeq 6000,HG01438,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01438,female,ERP114329,AMR,Ad Mixed American,11279700825,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T22:44:00Z,1,Coriell:HG01438,300,118606530300,MGP00005,CLM45,38.26379497,6176.224876,161.4117178
,23531,ERR3241900,ERR3241900,ERR3241900,TRUE,WGS,PRJEB31736,SAMN00014335,NYGC,public,HG01440,2019-03-22,2019-03-22,ERX3268915,Illumina NovaSeq 6000,HG01440,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01440,male,ERP114329,AMR,Ad Mixed American,10626615196,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:39:00Z,1,Coriell:HG01440,300,113389760400,MGP00005,CLM46,36.58080657,6802.170873,185.9491769
,23532,ERR3241901,ERR3241901,ERR3241901,TRUE,WGS,PRJEB31736,SAMN00014336,NYGC,public,HG01441,2019-03-22,2019-03-22,ERX3268916,Illumina NovaSeq 6000,HG01441,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01441,female,ERP114329,AMR,Ad Mixed American,11091545229,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:47:00Z,1,Coriell:HG01441,300,113190885900,MGP00005,CLM46,36.51664743,8438.371564,231.0828665
,22776,ERR3242801,ERR3242801,ERR3242801,TRUE,WGS,PRJEB31736,SAMN01091116,NYGC,public,HG01443,2019-03-22,2019-03-22,ERX3269816,Illumina NovaSeq 6000,HG01443,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01443,male,ERP114329,AMR,Ad Mixed American,10381918566,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-31T00:22:00Z,1,Coriell:HG01443,300,106505225100,,CLM47,34.35977838,5913.521106,172.1059152
,22777,ERR3242802,ERR3242802,ERR3242802,TRUE,WGS,PRJEB31736,SAMN01091117,NYGC,public,HG01444,2019-03-22,2019-03-22,ERX3269817,Illumina NovaSeq 6000,HG01444,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01444,female,ERP114329,AMR,Ad Mixed American,10571029738,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-31T00:26:00Z,1,Coriell:HG01444,300,112272600600,,CLM47,36.22039831,9251.918507,255.433925
,22778,ERR3242803,ERR3242803,ERR3242803,TRUE,WGS,PRJEB31736,SAMN01091118,NYGC,public,HG01447,2019-03-22,2019-03-22,ERX3269818,Illumina NovaSeq 6000,HG01447,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01447,female,ERP114329,AMR,Ad Mixed American,11264833423,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:56:00Z,1,Coriell:HG01447,300,119902613100,,CLM48,38.68192579,5681.987607,146.8899878
,23533,ERR3241902,ERR3241902,ERR3241902,TRUE,WGS,PRJEB31736,SAMN00014338,NYGC,public,HG01455,2019-03-22,2019-03-22,ERX3268917,Illumina NovaSeq 6000,HG01455,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01455,male,ERP114329,AMR,Ad Mixed American,10554701503,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:46:00Z,1,Coriell:HG01455,300,107381171700,MGP00005,CLM51,34.64236857,6376.934129,184.0790452
,23534,ERR3241903,ERR3241903,ERR3241903,TRUE,WGS,PRJEB31736,SAMN00014339,NYGC,public,HG01456,2019-03-22,2019-03-22,ERX3268918,Illumina NovaSeq 6000,HG01456,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01456,female,ERP114329,AMR,Ad Mixed American,10893078409,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:25:00Z,1,Coriell:HG01456,300,115032443100,MGP00005,CLM51,37.11075441,5333.001052,143.7050024
,22779,ERR3242804,ERR3242804,ERR3242804,TRUE,WGS,PRJEB31736,SAMN01091121,NYGC,public,HG01459,2019-03-22,2019-03-22,ERX3269819,Illumina NovaSeq 6000,HG01459,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01459,female,ERP114329,AMR,Ad Mixed American,10842703194,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:39:00Z,1,Coriell:HG01459,300,110391863400,,CLM52,35.61365143,7847.732312,220.3574191
,23535,ERR3241904,ERR3241904,ERR3241904,TRUE,WGS,PRJEB31736,SAMN00014341,NYGC,public,HG01461,2019-03-22,2019-03-22,ERX3268919,Illumina NovaSeq 6000,HG01461,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01461,male,ERP114329,AMR,Ad Mixed American,10383940638,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T22:58:00Z,1,Coriell:HG01461,300,112737957000,MGP00005,CLM53,36.3705275,9974.434655,274.2449819
,23536,ERR3241905,ERR3241905,ERR3241905,TRUE,WGS,PRJEB31736,SAMN00014342,NYGC,public,HG01462,2019-03-22,2019-03-22,ERX3268920,Illumina NovaSeq 6000,HG01462,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01462,female,ERP114329,AMR,Ad Mixed American,11059780778,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:37:00Z,1,Coriell:HG01462,300,114129299700,MGP00005,CLM53,36.81939023,7591.994968,206.1955649
,23537,ERR3241906,ERR3241906,ERR3241906,TRUE,WGS,PRJEB31736,SAMN00014344,NYGC,public,HG01464,2019-03-22,2019-03-22,ERX3268921,Illumina NovaSeq 6000,HG01464,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01464,male,ERP114329,AMR,Ad Mixed American,10761002761,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:07:00Z,1,CORIELL:HG01464,300,115346903700,MGP00005,CLM54,37.21220292,12251.70017,329.2387766
,23538,ERR3241907,ERR3241907,ERR3241907,TRUE,WGS,PRJEB31736,SAMN00014345,NYGC,public,HG01465,2019-03-22,2019-03-22,ERX3268922,Illumina NovaSeq 6000,HG01465,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01465,female,ERP114329,AMR,Ad Mixed American,10324031703,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:51:00Z,1,Coriell:HG01465,300,108776565000,MGP00005,CLM54,35.09253807,9112.114391,259.6595998
,22780,ERR3242805,ERR3242805,ERR3242805,TRUE,WGS,PRJEB31736,SAMN01091122,NYGC,public,HG01468,2019-03-22,2019-03-22,ERX3269820,Illumina NovaSeq 6000,HG01468,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01468,female,ERP114329,AMR,Ad Mixed American,12604760150,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-31T01:13:00Z,1,Coriell:HG01468,300,114694138200,,CLM55,37.00161346,8093.100796,218.7229161
,22781,ERR3242806,ERR3242806,ERR3242806,TRUE,WGS,PRJEB31736,SAMN01091125,NYGC,public,HG01474,2019-03-22,2019-03-22,ERX3269821,Illumina NovaSeq 6000,HG01474,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01474,female,ERP114329,AMR,Ad Mixed American,10618238335,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T18:19:00Z,1,Coriell:HG01474,300,107917876500,,CLM57,34.81551555,6692.607256,192.2305946
,22782,ERR3242807,ERR3242807,ERR3242807,TRUE,WGS,PRJEB31736,SAMN01091127,NYGC,public,HG01479,2019-03-22,2019-03-22,ERX3269822,Illumina NovaSeq 6000,HG01479,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01479,male,ERP114329,AMR,Ad Mixed American,10984393969,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T17:26:00Z,1,Coriell:HG01479,300,113487779400,,CLM59,36.6124286,9426.798633,257.4753709
,22783,ERR3242808,ERR3242808,ERR3242808,TRUE,WGS,PRJEB31736,SAMN01091131,NYGC,public,HG01485,2019-03-22,2019-03-22,ERX3269823,Illumina NovaSeq 6000,HG01485,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01485,male,ERP114329,AMR,Ad Mixed American,10977275059,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-31T02:19:00Z,1,Coriell:HG01485,300,112832751300,,CLM61,36.4011092,6391.659982,175.5897038
,22784,ERR3242809,ERR3242809,ERR3242809,TRUE,WGS,PRJEB31736,SAMN01091132,NYGC,public,HG01486,2019-03-22,2019-03-22,ERX3269824,Illumina NovaSeq 6000,HG01486,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01486,female,ERP114329,AMR,Ad Mixed American,10968647067,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-30T18:23:00Z,1,Coriell:HG01486,300,110002058400,,CLM61,35.48789597,6061.646387,170.8088412
,23539,ERR3241908,ERR3241908,ERR3241908,TRUE,WGS,PRJEB31736,SAMN00014347,NYGC,public,HG01488,2019-03-22,2019-03-22,ERX3268923,Illumina NovaSeq 6000,HG01488,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01488,male,ERP114329,AMR,Ad Mixed American,11478781630,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:01:00Z,1,Coriell:HG01488,300,116107008300,MGP00005,CLM62,37.45742118,7400.145937,197.5615433
,23540,ERR3241909,ERR3241909,ERR3241909,TRUE,WGS,PRJEB31736,SAMN00014348,NYGC,public,HG01489,2019-03-22,2019-03-22,ERX3268924,Illumina NovaSeq 6000,HG01489,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01489,female,ERP114329,AMR,Ad Mixed American,9826313159,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T22:57:00Z,1,Coriell:HG01489,300,104757942000,MGP00005,CLM62,33.79608529,6458.573081,191.1041775
,23541,ERR3241910,ERR3241910,ERR3241910,TRUE,WGS,PRJEB31736,SAMN00014350,NYGC,public,HG01491,2019-03-22,2019-03-22,ERX3268925,Illumina NovaSeq 6000,HG01491,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01491,male,ERP114329,AMR,Ad Mixed American,13868991911,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T07:09:00Z,1,Coriell:HG01491,300,158327296800,MGP00005,CLM63,51.07815908,13902.69326,272.1846971
,23542,ERR3241911,ERR3241911,ERR3241911,TRUE,WGS,PRJEB31736,SAMN00014351,NYGC,public,HG01492,2019-03-22,2019-03-22,ERX3268926,Illumina NovaSeq 6000,HG01492,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01492,female,ERP114329,AMR,Ad Mixed American,10880615404,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T02:03:00Z,1,Coriell:HG01492,300,113384032200,MGP00005,CLM63,36.57895859,7571.714135,206.996438
,23543,ERR3241912,ERR3241912,ERR3241912,TRUE,WGS,PRJEB31736,SAMN00014353,NYGC,public,HG01494,2019-03-22,2019-03-22,ERX3268927,Illumina NovaSeq 6000,HG01494,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01494,male,ERP114329,AMR,Ad Mixed American,11262971120,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:01:00Z,1,Coriell:HG01494,300,111969689700,MGP00005,CLM64,36.12267586,6888.868334,190.7075866
,23544,ERR3241913,ERR3241913,ERR3241913,TRUE,WGS,PRJEB31736,SAMN00014354,NYGC,public,HG01495,2019-03-22,2019-03-22,ERX3268928,Illumina NovaSeq 6000,HG01495,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01495,female,ERP114329,AMR,Ad Mixed American,10292526423,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:04:00Z,1,Coriell:HG01495,300,107854334700,MGP00005,CLM64,34.79501625,5639.876671,162.0886345
,23545,ERR3241914,ERR3241914,ERR3241914,TRUE,WGS,PRJEB31736,SAMN00014356,NYGC,public,HG01497,2019-03-22,2019-03-22,ERX3268929,Illumina NovaSeq 6000,HG01497,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01497,male,ERP114329,AMR,Ad Mixed American,10752165869,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:13:00Z,1,Coriell:HG01497,300,107970124200,MGP00005,CLM65,34.83237124,12266.1919,352.1492068
,23546,ERR3241915,ERR3241915,ERR3241915,TRUE,WGS,PRJEB31736,SAMN00014357,NYGC,public,HG01498,2019-03-22,2019-03-22,ERX3268930,Illumina NovaSeq 6000,HG01498,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"Colombian in Medellin, Colombia",CLM,2019-03-25T00:00:00Z,HG01498,female,ERP114329,AMR,Ad Mixed American,10427729293,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:27:00Z,1,Coriell:HG01498,300,107770998600,MGP00005,CLM65,34.76813109,5950.510741,171.1484211
,23547,ERR3241916,ERR3241916,ERR3241916,TRUE,WGS,PRJEB31736,SAMN00014359,NYGC,public,HG01500,2019-03-22,2019-03-22,ERX3268931,Illumina NovaSeq 6000,HG01500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01500,male,ERP114329,EUR,European,10622649646,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:46:00Z,1,Coriell:HG01500,300,108345484800,MGP00010,IBS001,34.95346677,7976.712258,228.2094737
,23548,ERR3241917,ERR3241917,ERR3241917,TRUE,WGS,PRJEB31736,SAMN00014360,NYGC,public,HG01501,2019-03-22,2019-03-22,ERX3268932,Illumina NovaSeq 6000,HG01501,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01501,female,ERP114329,EUR,European,11138877629,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T02:31:00Z,1,Coriell:HG01501,300,116846181900,MGP00010,IBS001,37.69588686,10043.2589,266.4285082
,23549,ERR3241918,ERR3241918,ERR3241918,TRUE,WGS,PRJEB31736,SAMN00014362,NYGC,public,HG01503,2019-03-22,2019-03-22,ERX3268933,Illumina NovaSeq 6000,HG01503,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01503,male,ERP114329,EUR,European,10807255548,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:25:00Z,1,Coriell:HG01503,300,109091971800,MGP00010,IBS002,35.19429184,9676.051224,274.9324029
,23550,ERR3241919,ERR3241919,ERR3241919,TRUE,WGS,PRJEB31736,SAMN00014363,NYGC,public,HG01504,2019-03-22,2019-03-22,ERX3268934,Illumina NovaSeq 6000,HG01504,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01504,female,ERP114329,EUR,European,10893278038,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T06:04:00Z,1,Coriell:HG01504,300,108813360300,MGP00010,IBS002,35.10440865,9329.155325,265.7545216
,23551,ERR3241920,ERR3241920,ERR3241920,TRUE,WGS,PRJEB31736,SAMN00014365,NYGC,public,HG01506,2019-03-22,2019-03-22,ERX3268935,Illumina NovaSeq 6000,HG01506,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01506,male,ERP114329,EUR,European,10489077522,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:27:00Z,1,Coriell:HG01506,300,109206678000,MGP00010,IBS003,35.23129734,8512.044464,241.6046273
,23552,ERR3241921,ERR3241921,ERR3241921,TRUE,WGS,PRJEB31736,SAMN00014366,NYGC,public,HG01507,2019-03-22,2019-03-22,ERX3268936,Illumina NovaSeq 6000,HG01507,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01507,female,ERP114329,EUR,European,10494105064,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:04:00Z,1,Coriell:HG01507,300,110074855200,MGP00010,IBS003,35.51138103,8785.428496,247.3975453
,23553,ERR3241922,ERR3241922,ERR3241922,TRUE,WGS,PRJEB31736,SAMN00014368,NYGC,public,HG01509,2019-03-22,2019-03-22,ERX3268937,Illumina NovaSeq 6000,HG01509,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01509,male,ERP114329,EUR,European,10344299000,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:05:00Z,1,Coriell:HG01509,300,103055010600,MGP00010,IBS004,33.24670055,5920.170497,178.0679105
,23554,ERR3241923,ERR3241923,ERR3241923,TRUE,WGS,PRJEB31736,SAMN00014369,NYGC,public,HG01510,2019-03-22,2019-03-22,ERX3268938,Illumina NovaSeq 6000,HG01510,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01510,female,ERP114329,EUR,European,10836578071,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T01:40:00Z,1,Coriell:HG01510,300,105803587500,MGP00010,IBS004,34.13342224,4807.402884,140.8415145
,23555,ERR3241924,ERR3241924,ERR3241924,TRUE,WGS,PRJEB31736,SAMN00014371,NYGC,public,HG01512,2019-03-22,2019-03-22,ERX3268939,Illumina NovaSeq 6000,HG01512,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01512,male,ERP114329,EUR,European,10273012256,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T02:08:00Z,1,Coriell:HG01512,300,104903474400,MGP00010,IBS005,33.84303567,7437.268815,219.7577335
,23556,ERR3241925,ERR3241925,ERR3241925,TRUE,WGS,PRJEB31736,SAMN00014372,NYGC,public,HG01513,2019-03-22,2019-03-22,ERX3268940,Illumina NovaSeq 6000,HG01513,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01513,female,ERP114329,EUR,European,10361480457,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:02:00Z,1,Coriell:HG01513,300,103330375800,MGP00010,IBS005,33.33553645,7925.067898,237.7363242
,23557,ERR3241926,ERR3241926,ERR3241926,TRUE,WGS,PRJEB31736,SAMN00014374,NYGC,public,HG01515,2019-03-22,2019-03-22,ERX3268941,Illumina NovaSeq 6000,HG01515,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01515,male,ERP114329,EUR,European,10517144911,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T23:58:00Z,1,Coriell:HG01515,300,107024164800,MGP00010,IBS006,34.52719414,7404.155325,214.4441652
,23558,ERR3241927,ERR3241927,ERR3241927,TRUE,WGS,PRJEB31736,SAMN00014375,NYGC,public,HG01516,2019-03-22,2019-03-22,ERX3268942,Illumina NovaSeq 6000,HG01516,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,Iberian populations in Spain,IBS,2019-03-25T00:00:00Z,HG01516,female,ERP114329,EUR,European,10786278243,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-29T00:01:00Z,1,Coriell:HG01516,300,114677428800,MGP00010,IBS006,36.99622282,3472.368034,93.85736621
